full_name,body_anonymized,is_resolvable,Yes Count,Total Count,Resolvable %,,Structured Resolvable,Unstructured
pydanny/cookiecutter-django,"
Provided your question goes beyond [regular support](<|URL|>), and/or the task at hand is of timely/high priority nature use the below information to reach out for contributors directly.

* Daniel Roy Greenfeld, Project Lead ([GitHub](<|URL|>), [Patreon](<|URL|>)): expertise in Django and AWS ELB.

* Nikita Shupeyko, Core Developer ([GitHub](<|URL|>)): expertise in Python/Django, hands-on DevOps and frontend experience.

* Bruno Alla, Core Developer ([GitHub](<|URL|>)).
",Yes,,,,,,
pixie-io/pixie,"
**Describe the Task**
An explanation of the work that needs to be done, and why. This could be improving tests, cleaning up technical debt, improving the build system, etc. This should be understandable to other developers, not just yourself!

**Subtasks**
The list of concrete tasks which must be done to complete this task. These may be low-level.

- [x] Here is an example of a completed task.
- [ ] Here is an example of an uncompleted task.
",Yes,,,,,,
instaloader/instaloader,"
Your question here...

<!--
People will be better able and more motivated to provide help if your question

- has a concise and meaningful title,
- is not covered by the documentation: <|URL|>
- is actually related to <|Repo_Name|> (this is not a Python help forum),
- has not already been answered here or on other sites such as Stack Overflow: <|URL|>
- is written in a polite and welcoming tone.
-->
",Yes,,,,,,
thomaschampagne/elevate,"
**⚠ BEFORE ANYTHING: Are you in the right place?**

Before creating any issues, you HAVE TO check if issue already exists:

* Check for answer in Frequently Asked Questions here: <|URL|>
* Check for already existing issues matching with yours: <|URL|>

Any unsuitable issues will not be handled. Since this project is performed on free time and has hundreds
of thousands users now, there's no room to handle duplicate or irrelevant issues...

Please be wise when opening an issue.

Thank you for your understanding!

If your issue is suitable, you can remove this warning before submitting it.

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Environment**
- OS: [e.g. Windows, Linux, MacOS]
- Desktop app version [e.g. 7.0.0]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
open-cap-table-coalition/open-cap-format-ocf,"
<!--
Note: Please search to see if an issue already exists for the question you would like to ask.
-->

### Question:

<!-- A concise description of your question. -->

### Anything else we need to know?

<!-- Links? References? Anything that will give us more context about your question. -->
",No,,,,,,
avocado-framework/avocado,"
**Describe the bug**
A clear and concise description of what the bug is.

**Steps to reproduce**
Steps to reproduce the behavior with a reproducible whenever possible.

**Expected behavior**
A clear and concise description of what you expected to happen.

**Current behavior**
What you are getting?

**System information (please complete the following information):**
- OS: `lsb_release -a`
- <|Repo_Name|> version: `<|Repo_Name|> -v`
- <|Repo_Name|> installation method: pip, rpm, github ?

**Additional information**
Add any other information about the problem here. Test details can be added here.
",Yes,,,,,,
fortawesome/react-fontawesome,"
**Describe the bug**
A clear and concise description of what the bug is.

**Reproducible test case**
Include a URL (<|URL|>, <|URL|>, Git repository, <|URL|>, <|URL|>, etc.) that demonstrates the problem.

**Expected behavior**
A clear and concise description of what you expected to happen.

**Desktop (please complete the following information):**

- Browser [e.g. chrome, safari]
- Version

**Additional context**
Add any other context about the problem here.
",No,,,,,,
freifunk-gluon/gluon,"
<!--

Please carefully fill out the questionnaire below to help improve the
timely triaging of issues. Walk through the questions below and use
them as an inspiration for what information you can provide.

Make use of codeblocks (three backticks before and after) where
appropriate (configuration excerpts, log output, etc.). Example:

```
your code goes here
```

You can use the ""Preview"" tab to check how your issue is going to look
before you actually send it in.

Thank you for taking the time to report a bug with the <|Repo_Name|> project.

-->

### Bug report

**What is the problem?**
<!--
- What is not working as expected?
- How is it misbehaving?
- When did the problem first start showing up?
- What were you doing when you first noticed the problem?
- On which devices (vendor, model and revision) is it misbehaving?
- Does the issue appear on multiple devices or targets?
-->

**What is the expected behaviour?**
<!--
- How do you think it should work instead?
- Did it work like that before?
-->

**<|Repo_Name|> Version:**
<!--
Please provide a usable Git reference before applying custom patches:

By using a Git reference:
$ git describe --always
v2018.2-17-g3abadc28

Or the URL to the relevant <|Repo_Name|> commit
<|URL|><commit hash here>
-->

**Site Configuration:**
<!--
Please provide the URL to your site configuration repository and the
explicit commit used to build the firmware experiencing the problem.

Additionally excerpts of problem-related configuration parts are
often helpful.
-->

**Custom patches:**
<!--
Be upfront about any custom patches you have applied to your <|Repo_Name|> build, as they might
be part of your problem.
-->

",No,,,,,,
defich/wallet,"
<!-- Please only use this template for submitting enhancement/feature requests -->

#### What would you like to be added:

#### Why is this needed:
",Yes,,,,,,
alephdata/aleph,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**<|Repo_Name|> version**
We need to know which version of <|Repo_Name|> you’re using to be able to reproduce the bug. If you aren’t using the latest version, please make sure to verify that the bug is still present in the latest version of <|Repo_Name|>.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
apolopena/gitpod-laravel-starter,"
<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please search existing issues to avoid creating duplicates. -->

### Describe the bug
<!-- A clear and concise description of what the bug is -->

### Screenshots
<!-- If applicable, add screenshots to help explain your problem. -->

### Steps to reproduce
<!-- Steps to reproduce the behavior -->

### Expected behavior
<!-- A clear and concise description of what you expected to happen -->

### Additional information
<!-- Anything else that might be relevant. Example repos, etc...-->
",Yes,,,,,,
open-telemetry/opentelemetry-go,"
<!-- markdownlint-disable MD034 -->
<!--- The current milestones can be found at <|URL|> -->
- [ ] Complete [Milestone](<|URL|><Release Milesone>)
<!-- markdownlint-enable MD034 -->
- [ ] Update contrib codebase to support changes about to be released (use a git sha version)
- [ ] [Pre-release](<|URL|>)
- [ ] [Tag](<|URL|>)
- [ ] [Release](<|URL|>)
- [ ] [Check examples](<|URL|>)
- [ ] [Sync with Contrib](<|URL|>)
- [ ] [Release contrib](<|URL|>)
- [ ] [Sync website docs](<|URL|>)
- [ ] Close the milestone
",No,,,,,,
processing/p5.js-web-editor,"
<!--
Hi there!

Thank you for contributing to the p5.js Editor project

Until further notice, we will only add new features that increase access.

In order to request a new feature for the p5.js Editor, we need to know how the new feature will increase access.
-->

### How would this new feature help [increase access](<|URL|>) to the p5.js Editor?

#### New feature details:
",Yes,,,,,,
nrel/sam,"
### Describe the bug

A clear and concise description of what the bug is.

### To Reproduce

Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

### Expected behavior

A clear and concise description of what you expected to happen.

### Screenshots

If applicable, add screenshots to help explain your problem.

### Operating System and Version

- OS: [Windows, macOS, Linux]
- Version [e.g. <|Repo_Name|> 2020.2.29 r3]

### Additional context

Add any other context about the problem here.
",No,,,,,,
twireapp/twire,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Smartphone (please complete the following information):**
- Device: [e.g. Google Pixel 6]
- Android Version: [e.g. Android 12]
- <|Repo_Name|> Version: [e.g. 2.10.3]

**Additional context / screenshots**
Add any other context about the problem here.
",Yes,,,,,,
microsoft/deepspeed,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**ds_report output**
Please run `ds_report` to give us details about your setup.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**System info (please complete the following information):**
- OS: [e.g. Ubuntu 18.04]
- GPU count and types [e.g. two machines with x8 A100s each]
- Interconnects (if applicable) [e.g., two machines connected with 100 Gbps IB]
- Python version
- Any other relevant info about your setup

**Launcher context**
Are you launching your experiment with the `<|Repo_Name|>` launcher, MPI, or something else?

**Docker context**
Are you using a specific docker image that you can share?

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
seperman/deepdiff,"
Please checkout the [F.A.Q](<|URL|>) page before creating a bug ticket to make sure it is not already addressed.

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior

**Expected behavior**
A clear and concise description of what you expected to happen.

**OS, <|Repo_Name|> version and Python version (please complete the following information):**
- OS: [e.g. Ubuntu]
- Version [e.g. 20LTS]
- Python Version [e.g. 3.9.12]
- <|Repo_Name|> Version [e.g. 5.8.0]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
cal-itp/data-infra,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
beeminder/beeswift,"
[Try to include a use case maybe. And delete this boilerplate.]
",No,,,,,,
shopify/polaris,"
## Component name

Short intro description (try and keep to two sentences):

> {Component name} are used to {x}. Merchants can use it to {x}.

Other formats for the second sentence:

> It can {x} so merchants can {x}.
> They can {x} to help merchants {x}.

Example:

> Icons are used to {visually communicate core parts of the product and available actions}. They can {act as way-finding tools} to help merchants {more easily understand where they are in the product, and common interaction patterns that are available}.

## Required components

This section is only used if the components is a dependency of or depends on another component. Include a link to the required component and a short explanation of how they interact.

Example:

> The {x} component must be wrapped in the {y} component.

Example:

> The {x} component must be passed to the {y} component.

Otherwise if there are no component dependencies, remove this section.

## Examples

### Example name

Description of example (clearly differentiate examples from each other). Use an image if applicable:

> Use {component name} to let merchants {x}.
>
> ![Aww kitty](<|Image|>)

Example for default callout card:

> ### Default callout card
>
> Use to let merchants know about a feature or opportunity where there is a clear, single action they need to take to move to the next step.

Example for callout card with secondary action:

> ### Callout card with secondary action
>
> Use to let merchants know about a feature or opportunity where there are two distinct actions they can take on the information.

## Props

List props and type declarations:

> - **propName** (required or optional): `type` defaults to `value` – description of the prop

Example:

> - **showFoo** (required): `boolean` – Show or hide foo
> - **showBar** (optional): `boolean` defaults to `false` – Show or hide bar
> - **items** (optional): `ItemDescriptor[]` – Collection of items
> - **onClick** (optional): `() => void` – Callback when clicked

### Subtype name

This section is only used if any prop types use a structural subtype, called interfaces in TypeScript. List props and type declarations of the subtype like above:

> - **propName** (required or optional): `type` defaults to `value` – description of the prop

Example:

> ### ItemDescriptor
>
> - **accessibilityLabel** (optional): `string` – Visually hidden text for screen readers
> - **content** (optional): `string` – Content the action displays
> - **disabled** (optional): `string` – Should the action be disabled

## Best practices

The {x} component should:

- This is where you should include design best practices and UX guidelines.

Example:

> The select component should:
>
> - Be used for lists of four or more items
> - List items within the menu alphabetically or some other logical order so mer_chants can easily find the selection they need
> - ...

## Content guidelines

{x} should:

- Content guideline here

| Do example | Don’t example |
| ---------- | ------------- |
| Do this    | Don’t do this |

## Subcomponent name

This section is only used for components with subcomponents. Include a short intro description of the subcomponent purpose and how it relates to the main component.

Example:

> The content of a resource list consists of resource list items. Each item summarizes an individual resource and should link to its show page.
> Because the content of items depends on the type of resource and merchant tasks, resource list items are flexible.

### Subcomponent examples

Description of example (clearly differentiate examples from each other). Use an image if applicable:

> **Subcomponent example name**
>
> Use {component name} to let merchants {x}.
>
> ![Aww kitty](<|Image|>)

Example:

> ### Item examples
>
> **Simple resource list item**
>
> A basic resource list item with its details filled in at the point of use.

## Related components

- To {describe how the other component works}, [use the {x} component]

Example:

> - To {learn how to embed a link in a piece of text}, use the {link} component
",No,,,,,,
iotaledger/hornet,"
<!--- Remove text and sections that do not apply -->
<!--- Please anonymize personal data such as IP addresses -->

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
- Go to ...
- Edit config to ...
- See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Environment information:**
- OS: [e.g. Ubuntu 18.04]
- RAM: [e.g. 4 GB]
- Cores: [e.g. 4 Cores]
- Type: [e.g. Raspberry Pi 3B+, VPS, ...]
- Browser [e.g. chrome, safari] (e.g. for <|Repo_Name|> Dashboard issues)
- <|Repo_Name|> version [e.g. 0.2.1]

**Additional context**
Add any other context about the problem here [e.g. <|Repo_Name|> logs, errors, screenshots]
",Yes,,,,,,
nyu-mll/jiant,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
nekochans/lgtm-cat-frontend,"
# Done の定義

[required]

# 補足情報

[optional]
",Yes,,,,,,
sourcegraph/sourcegraph,"
#### Feature request description

<!-- A description of what feature you would like. -->

#### Is your feature request related to a problem? If so, please describe.

<!-- A description of what the problem is. Ex. I'm always frustrated when [...] -->

#### Describe alternatives you've considered.

<!-- A description of any alternative solutions or features you've considered. -->

#### Additional context

<!-- Add any other context or other information you'd like to provide. -->
",Yes,,,,,,
nrfconnect/sdk-zephyr,"
## Introduction

This section targets end users, TSC members, maintainers and anyone else that might
need a quick explanation of your proposed change.

### Problem description

Why do we want this change and what problem are we trying to address?

### Proposed change

A brief summary of the proposed change - the 10,000 ft view on what it will
change once this change is implemented.

## Detailed RFC

In this section of the document the target audience is the dev team. Upon
reading this section each engineer should have a rather clear picture of what
needs to be done in order to implement the described feature.

### Proposed change (Detailed)

This section is freeform - you should describe your change in as much detail
as possible. Please also ensure to include any context or background info here.
For example, do we have existing components which can be reused or altered.

By reading this section, each team member should be able to know what exactly
you're planning to change and how.

### Dependencies

Highlight how the change may affect the rest of the project (new components,
modifications in other areas), or other teams/projects.

### Concerns and Unresolved Questions

List any concerns, unknowns, and generally unresolved questions etc.

## Alternatives

List any alternatives considered, and the reasons for choosing this option
over them.
",Yes,,,,,,
trackercontrol/tracker-control-android,"
**Do you use TrackerControl from Google Play/F-Droid/other?**
Please tell what version of TrackerControl you use.

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error
",Yes,,,,,,
napari/napari,"
### Overview of design need
- Is there an existing GitHub issue this design work pertains to? If so, provide a link to it
- Also link to any specific comments or threads where the problem to be solved by design is mentioned
- In a sentence or two, describe the problem to be solved for users

### What level of design is needed? (Choose all that apply)
_This section may be updated by the designer / UX researcher working on this issue_

- [ ] **User experience research:**  high-level recommendation/exploration of user needs, design heuristics, and / or best practices to inform a design experience
(Use this option when you feel there’s a challenge to be solved, but you’re curious about what the experience should be — may involve research studies to understand challenges/opportunities for design)
- [ ] **Information flow / conceptual:** organizing and structuring of information flow and content, including layout on screen or across multiple steps
- [ ] **Visual:** creating mockups, icons, etc
(If choosing this level alone, it means that the content to be mocked up and its organization is already known and specified)

### Is design a blocker?
- [ ] **Yes:** engineering cannot proceed without a design first
- [ ] **No:** engineering can create a first version, and design can come in later to iterate and refine

If selecting **Yes**, how much design input is needed to unblock engineering? For example, is a full, final visual design needed, or just a recommendation of which conceptual direction to go?
",Yes,,,,,,
turbot/tdk,"
## What documentation should be created or amended
",Yes,,,,,,
ebay/ebayui-core,"
<!-- Delete any sections below that are not relevant. -->

# Feature Request

## Description
<!-- What is the new feature? What problem does it solve? -->

## Context
<!-- Provide additional contextual information if needed. -->

## Screenshots
<!-- Upload screenshots if appropriate. -->
",Yes,,,,,,
cgdprojects/genealogy,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
cecilapp/cecil,"
## Describe the bug

A clear and concise description of what the bug is.

## To reproduce

Steps to reproduce the behavior:

1. Go to '...'
2. Click on '...'
3. Scroll down to '...'
4. See error

## Expected behavior

A clear and concise description of what you expected to happen.

## Additional context

Add any other context about the problem here.
",No,,,,,,
microsoft/pxt-ev3,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
openfoodfacts/robotoff,"
### Problem
<!-- Please replace me by a clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

### Proposed solution
<!-- Please replace me by a clear and concise description of what you want to happen) -->

### Additional context
<!-- Please replace me by any other context or screenshots about the feature request here.) -->

### Mockups

### Part of
- #374 <!-- Please remplace 374 by the most specific parent issue possible -->
",Yes,,,,,,
jakezatecky/react-dual-listbox,"
Please include a clear and concise description of the feature or enhancement you would like to have added to the project.
",Yes,,,,,,
keplergl/kepler.gl,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. load kepler
2. Add data & config
3. Export map

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Environment (please complete the following information):**
- Python version: [e.g. python2, python3]
- keplergl Widget version [e.g. 0.1.0]

**Additional context**
Add any other context about the problem here.
",Yes,,,,,,
mentaljam/harbour-storeman,"
#### DESCRIPTION


#### ADDITIONAL INFORMATION

<Please consider which other pieces of information may be relevant: Attach relevant data, provide screenshots etc.>
",Yes,,,,,,
actions/stale,"
## The problem

## The solution
",Yes,,,,,,
canvasbird/canvasboard,"
<!--
- Thanks for taking the time to propose a new feature for the Canvaboard project.
- Before filing a new issue, please do a quick search to check that it hasn't
- already been filed on the [issue tracker](<|URL|>)._
-->

**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. It would be better if [...]

**Describe the solution you'd like** 💡
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
greenbone/gsa,"
<!--
If reporting an issue please try to provide the information asked below.

Before reporting an issue please:

1. Be aware that this is not a support forum. If your issue is rather a question
than a bug report, please use our community forum at
<|URL|> instead.
2. Make sure that you're using the latest published GVM components for the
release you are using: <|URL|>
3. Check the list of issues whether it isn't already reported.
4. Read 1. again and if you still believe you found a software bug please
continue to file this issue. If you are in doubt use
<|URL|> instead.

Thanks for your help to keep the communication channels clean and consistent!
-->

### Expected behavior

<!--
How did you expect <|Repo_Name|> to behave?
Please write down how the web interface should work in your opinion.
-->

### Actual behavior

<!--
Did something go wrong?
Is something broken, or not behaving as you expected?
Is this really an bug? If in doubt please use
<|URL|> instead.
Please attach screenshots if possible! They are extremely helpful for
diagnosing issues.
-->

### Steps to reproduce

<!--
How would you describe your issue to someone who doesn’t know <|Repo_Name|>?
Try to write a sequence of steps that anybody can repeat to see the issue.
-->

1.
2.
3.

### GVM versions

**<|Repo_Name|>:** (<|Repo_Name|>d --version)

**gvm:** (gvmd --version)

**openvas-scanner:** (openvassd --version)

**gvm-libs:**

### Environment

**Operating system:**

<!-- e.g. paste output of uname -a and cat /etc/lsb-release -->

**Installation method / source:** (packages, source installation)

### Logfiles

<!-- in most cases you'll find the logs in /var/log/gvm/ -->
```
```
",Yes,,,,,,
shps951023/miniexcel,"
### Excel Type

- [ ] XLSX
- [ ] XLSM
- [ ] CSV
- [ ] OTHER

### Upload Excel File

Please attach your issue file by dragging or droppng, selecting or pasting them.

e.g : [<|URL|>](<|URL|>)



### <|Repo_Name|> Version



### Description
",Yes,,,,,,
provenance-io/provenance,"

<!-- --------------------------------------------------------

Thank you for opening an issue.

Before submitting this request please review this template.
-------------------------------------------------------- -->


## Summary

<!-- Short, concise description of the proposed feature -->

## Problem Definition

<!-- Why do we need this feature?
What problems may be addressed by introducing this feature?
What benefits does the <|Repo_Name|> Network stand to gain by including this feature?
Should this feature be implemented in the Cosmos SDK directly?  Consider submitting
this request upstream instead.
Are there any disadvantages of including this feature? -->

## Proposal

<!-- Detailed description of requirements of implementation -->

____

#### For Admin Use

- [ ] Not duplicate issue
- [ ] Appropriate labels applied
- [ ] Appropriate contributors tagged
- [ ] Contributor assigned/self-assigned
",Yes,,,,,,
plant-for-the-planet-org/planet-webapp,"
**Describe the feature you'd like to see included in Plant-for-the-Planet Web App.**
*A clear, detailed description of the feature you're requesting.*

**What are the use cases for this feature?**
*e.g. See list of all trees I have planted, find projects around me etc.*

**Examples of this feature or functionality.**
*If another product has done it well, provide examples here. Or include your concept*

**Feature Checklist**

- [ ] I have searched for existing issues and to the best of my knowledge this is not a duplicate
- [ ] I have included at least one example image if it could be helpful (optional)
- [ ] The request requires change in APIs, Backend, etc (optional)

",Yes,,,,,,
ikeq/hexo-theme-inside,"
<!-- ATTENTION!
## 关于 Title：

请直接描述你的问题，多个问题选其一作为 Title，其他问题写在 Comment 里，或分开提。

### 不好的 Title 包括但不限于以下形式：

- 提一个问题
- 你好，请问能……吗？
- 主题很赞，遇到了一些小问题

以上形式的 Issue，不保证回复，也可能被直接 delete ~

### 推荐 Title 包括但不限于以下形式：

- Plugin load failed: <|Repo_Name|>
- URL 输入锚链接无法正确定位锚点位置
- 代码块使用``` ```时样式可能会出现错误
- 无法自定义 URL

### 关于 Issue：

请务必描述清楚你的问题，最好能够提供以下信息：

- 主题版本
- 配置
- markdown 代码（如果有关）

最后：

本人比较懒，更新缓慢，主题还一直在完善中，所以请确保使用的是最新代码（从 releases 页面下载，npm 不保证最新版本）。

Thx.
-->

请删除此行及以上所有内容
",No,,,,,,
tencent/spring-cloud-tencent,"
**What is the feature you want to add?**

**Why do you want to add this feature?**

**How to implement this feature?**

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
googleanalytics/ga-dev-tools,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
deployphp/deployer,"- <|Repo_Name|> version:
- Deployment OS:

Please, provide a minimal reproducible example of deploy.php
",No,,,,,,
gg-scm/gg,"
### Steps to Reproduce

```shell
<|Code|>
```

### Expected Behavior

### Actual Behavior

### Version Info

```
<|Code|>
```
",Yes,,,,,,
ssl-hep/servicex,"
## Release x.x.x checklist
* [ ]  Merge PRs targeted for this milestone, and postpone any remaining issues/PRs to next milestone
* [ ]  Update change log
* [ ]  Create release branch in [<|Repo_Name|>](<|URL|>) repo and freeze chart dependencies in `<|Repo_Name|>/requirements.yaml`
* [ ]  Perform `helm dependency update <|Repo_Name|>` to update `requirements.lock`
* [ ]  Create release branch in each service repo and freeze dependencies in `<|URL|>` or `requirements.txt`:
* [ ] [<|Repo_Name|>_App](<|URL|>_App)
* [ ] [X509_Secrets](<|URL|>)
* [ ] [DID Finder](<|URL|>-DID-finder)
* [ ] [xAOD_CPP Transformer](<|URL|>_xAOD_CPP_transformer)
* [ ] [Uproot Transformer](<|URL|>_Uproot_Transformer)
* [ ] [xAOD Code Generator](<|URL|>_Code_Generator_FuncADL_xAOD)
* [ ] [Uproot Code Generator](<|URL|>_Code_Generator_FuncADL_uproot)
* [ ] [ConfigMap Code Generator](<|URL|>_Code_Generator_Config_File)
* [ ]  Activate [ReadTheDocs version](<|URL|>) for the release branch
* [ ]  Update links to docs in README on release branch
* [ ]  Set chart version in `<|Repo_Name|>/Chart.yaml`
- Note that the version must match the release branch name. Do not include the leading ""v"" and RC should be lowercase.
Verify the settings with `helm template <|Repo_Name|> | grep URL` and insure the link works.
* [ ]  Make sure that DockerHub has tags for this release in sslhep/<|Repo_Name|>_app and other image repos
* [ ]  Fix the default images and tags in `<|Repo_Name|>/values.yaml` on release branch
* [ ]  Publish new version of <|Repo_Name|> chart to ssl-hep/<|Repo_Name|> helm repo
* [ ]  Make centrally-managed deployments to River cluster
* [ ]  Ensure docs on release branch are pointing to the correct deployments
* [ ]  Send announcement
",Yes,,,,,,
aquasecurity/trivy,"
<!--
If this is a FEATURE REQUEST, request format does not matter!
-->
",Yes,,,,,,
aehrc/pathling,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is, e.g. I'm always
frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've
considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
argoproj-labs/argocd-operator,"
> if your feature request is a large change and requires a formal proposal or design doc, please read the docs for [contributing](<|URL|>) first. You may need to submit an additional Pull Request using the [enhancement proposal template](<|URL|>).


**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
thm-health/pilos,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",No,,,,,,
pnp/list-formatting,"
Thank you for asking a question! Use the sections below to submit a question ONLY if it's related to samples in this repo. If you have an issue or question about list formatting or its documentation, please submit it at <|URL|>

- Questions that do not follow the below template will automatically be closed
- All questions are welcome - let us know what's on your mind!
- This repo is maintained by volunteers (not Microsoft). Please be courteous and patient. 🙂
- Include sufficient details and context.
- If you have multiple questions please submit them separately so we can track resolution.
- Screenshots are always helpful (just paste any images right here in the question)

DELETE EVERYTHING ABOVE AFTER READING - THANKS!

## Sample (which sample are you talking about)


## Question (the more details, the better)
",Yes,,,,,,
heal-research/heuristiclab,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
webhintio/hint,"
# 🚀 Feature request

## Description

<!-- ✍️ Describe the feature or <|Repo_Name|> you'd like to see added to web<|Repo_Name|>. -->

## Details

<!-- ✍️ Include any additional information, such as the scenario this would address, current workarounds, etc.. -->
",Yes,,,,,,
directorytree/ldaprecord-laravel,"
**Describe the feature you'd like:**
",Yes,,,,,,
hfp/libxsmm,"
",Yes,,,,,,
cellprofiler/cellprofiler,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
